Table Name,State Code,District Code,Area Name,Total/Rural/Urban,Educational Level,Non-Workers - Persons,Non-Workers - Males,Non-Workers - Females,Main Activity Students - Persons,Main Activity Students - Males,Main Activity Students - Females,Main Activity Household Duties - Persons,Main Activity Household Duties - Males,Main Activity Household Duties - Females,Main Activity Dependents - Persons,Main Activity Dependents - Males,Main Activity Dependents - Females,Main Activity Pensioners - Persons,Main Activity Pensioners - Males,Main Activity Pensioners - Females,Main Activity Rentiers - Persons,Main Activity Rentiers - Males,Main Activity Rentiers - Females,"Main Activity Beggars, Vagrants etc. - Persons","Main Activity Beggars, Vagrants etc. - Males","Main Activity Beggars, Vagrants etc. - Females",Main Activity Others - Persons,Main Activity Others - Males,Main Activity Others - Females
B0515,2,0,State - Himachal Pradesh,Total,Matric/Secondary but below Graduate,652784,271698,381086,352019,185234,166785,160088,6666,153422,14208,7311,6897,41209,36177,5032,488,318,170,44,36,8,84728,35956,48772
B0515,2,0,State - Himachal Pradesh,Total,Technical Diploma or Certificate not equal to Degree,21004,12861,8143,11405,7754,3651,1489,138,1351,310,202,108,3641,2241,1400,28,20,8,0,0,0,4131,2506,1625
B0515,2,0,State - Himachal Pradesh,Total,Graduate and above other than Technical Degree,122285,40204,82081,32756,14123,18633,36993,1281,35712,2740,1200,1540,13502,11538,1964,190,135,55,13,10,3,36091,11917,24174
B0515,2,0,State - Himachal Pradesh,Total,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,24628,11283,13345,9987,5417,4570,3619,198,3421,442,252,190,2827,2200,627,17,11,6,1,1,0,7735,3204,4531
B0515,2,0,State - Himachal Pradesh,Rural,Total,2886666,1273987,1612679,1397371,742284,655087,439769,21536,418233,747748,359832,387916,129529,83063,46466,1051,596,455,371,244,127,170827,66432,104395
B0515,2,0,State - Himachal Pradesh,Rural,Illiterate,1057138,448991,608147,174361,92051,82310,125860,6726,119134,692610,330779,361831,44987,13993,30994,397,169,228,258,146,112,18665,5127,13538
B0515,2,0,State - Himachal Pradesh,Rural,Literate,1829528,824996,1004532,1223010,650233,572777,313909,14810,299099,55138,29053,26085,84542,69070,15472,654,427,227,113,98,15,152162,61305,90857
B0515,2,0,State - Himachal Pradesh,Rural,Literate but below Matric/Secondary,1144660,534136,610524,876378,467082,409296,156905,7144,149761,34672,19060,15612,34951,25518,9433,323,184,139,73,65,8,41358,15083,26275
B0515,2,0,State - Himachal Pradesh,Rural,Matric/Secondary but below Graduate,538370,231569,306801,298951,157645,141306,121411,5776,115635,11605,6049,5556,34048,31062,2986,222,161,61,31,26,5,72102,30850,41252
B0515,2,0,State - Himachal Pradesh,Rural,Technical Diploma or Certificate not equal to Degree,15873,10108,5765,9300,6408,2892,922,108,814,220,147,73,2275,1502,773,10,10,0,0,0,0,3146,1933,1213
B0515,2,0,State - Himachal Pradesh,Rural,Graduate and above other than Technical Degree,77174,27727,49447,23289,10341,12948,19426,862,18564,1712,770,942,8016,7251,765,69,52,17,4,4,0,24658,8447,16211
